year;mes;horas;maquinaria;combustible;adicional;salidas;lhora;dhora;ddhora;a_mes
2016;OCTUBRE;364;6;92;75;51;5.897153868;114;-72;2016_OCTUBRE
2016;NOVIEMBRE;350;6;110;93;65;5.857933154;-14;-128;2016_NOVIEMBRE
2016;DICIEMBRE;70;6;16;23;12;4.248495242;-280;-266;2016_DICIEMBRE
2017;ENERO;48;6;15;20;7;3.871201011;-22;258;2017_ENERO
2017;FEBRERO;31;6;10;14;4;3.433987204;-17;5;2017_FEBRERO
2017;MARZO;92;6;24;32;18;4.521788577;61;78;2017_MARZO
2017;ABRIL;126;6;32;40;18;4.836281907;34;-27;2017_ABRIL
2017;MAYO;296;6;95;65;42;5.690359454;170;136;2017_MAYO
2017;JUNIO;134;6;32;37;18;4.8978398;-162;-332;2017_JUNIO
2017;JULIO;228;6;56;61;41;5.429345629;94;256;2017_JULIO
2017;AGOSTO;78;6;25;22;8;4.356708827;-150;-244;2017_AGOSTO
2017;SETIEMBRE;255;6;80;71;35;5.541263545;177;327;2017_SETIEMBRE
2017;OCTUBRE;351;6;110;96;49;5.860786223;96;-81;2017_OCTUBRE
2017;NOVIEMBRE;396;6;125;107;55;5.981414211;45;-51;2017_NOVIEMBRE
2017;DICIEMBRE;62;6;16;23;12;4.127134385;-334;-379;2017_DICIEMBRE
2018;ENERO;32;6;8;13;4;3.465735903;-30;304;2018_ENERO
2018;FEBRERO;33;6;8;14;4;3.496507561;1;31;2018_FEBRERO
2018;MARZO;126;6;32;31;13;4.836281907;93;92;2018_MARZO
2018;ABRIL;148;6;45;35;20;4.997212274;22;-71;2018_ABRIL
2018;MAYO;313;6;80;65;44;5.746203191;165;143;2018_MAYO
2018;JUNIO;150;6;45;43;27;5.010635294;-163;-328;2018_JUNIO
2018;JULIO;252;6;80;70;47;5.529429088;102;265;2018_JULIO
2018;AGOSTO;84;6;20;25;11;4.430816799;-168;-270;2018_AGOSTO
2018;SETIEMBRE;275;6;68;58;28;5.616771098;191;359;2018_SETIEMBRE
2018;OCTUBRE;381;6;120;80;53;5.942799375;106;-85;2018_OCTUBRE
2018;NOVIEMBRE;376;6;120;101;53;5.929589143;-5;-111;2018_NOVIEMBRE
2018;DICIEMBRE;92;6;30;23;10;4.521788577;-284;-279;2018_DICIEMBRE
2019;ENERO;52;6;15;19;7;3.951243719;-40;244;2019_ENERO
2019;FEBRERO;37;6;10;11;4;3.610917913;-15;25;2019_FEBRERO
2019;MARZO;156;6;50;48;22;5.049856007;119;134;2019_MARZO
2019;ABRIL;161;6;40;47;29;5.081404365;5;-114;2019_ABRIL
2019;MAYO;333;6;84;68;46;5.80814249;172;167;2019_MAYO
2019;JUNIO;167;6;40;36;17;5.117993812;-166;-338;2019_JUNIO
2019;JULIO;276;6;68;59;38;5.620400866;109;275;2019_JULIO
2019;AGOSTO;102;6;24;30;13;4.624972813;-174;-283;2019_AGOSTO
2019;SETIEMBRE;310;6;95;62;42;5.736572297;208;382;2019_SETIEMBRE
2019;OCTUBRE;420;6;104;84;57;6.040254711;110;-98;2019_OCTUBRE
2019;NOVIEMBRE;386;6;120;104;53;5.955837369;-34;-144;2019_NOVIEMBRE
2019;DICIEMBRE;135;6;32;40;18;4.905274778;-251;-217;2019_DICIEMBRE
